,Product,Minimum,Maximum,Average,Date
36,Lettuce KG,55.0,60.0,58.0,2013-06-19
37,Lime KG,200.0,400.0,300.0,2013-06-19
38,Mango(Maldah) KG,50.0,60.0,55.0,2013-06-19
39,Mint KG,120.0,130.0,125.0,2013-06-19
40,Mushroom(Kanya) KG,180.0,200.0,190.0,2013-06-19
41,Mustard Leaf KG,35.0,40.0,38.0,2013-06-19
42,Neuro KG,40.0,50.0,45.0,2013-06-19
43,Okara KG,35.0,40.0,38.0,2013-06-19
44,Onion Dry (Indian) KG,34.0,35.0,35.0,2013-06-19
45,Onion Green KG,40.0,45.0,43.0,2013-06-19
46,Papaya(Nepali) KG,60.0,65.0,63.0,2013-06-19
47,Parseley KG,180.0,190.0,185.0,2013-06-19
48,Pineapple 1 Pc,70.0,80.0,75.0,2013-06-19
49,Pointed Gourd(Local) KG,30.0,35.0,33.0,2013-06-19
50,Pomegranate KG,200.0,220.0,210.0,2013-06-19
51,Potato Red KG,20.0,21.0,21.0,2013-06-19
52,Potato White KG,15.0,16.0,16.0,2013-06-19
53,Pumpkin KG,18.0,20.0,19.0,2013-06-19
54,Raddish Red KG,35.0,40.0,38.0,2013-06-19
55,Raddish White(Local) KG,30.0,35.0,33.0,2013-06-19
56,Red Cabbbage KG,70.0,80.0,75.0,2013-06-19
57,Smooth Gourd KG,20.0,25.0,23.0,2013-06-19
58,Snake Gourd KG,25.0,30.0,28.0,2013-06-19
59,Soyabean Green KG,55.0,60.0,58.0,2013-06-19
60,Spinach Leaf KG,40.0,45.0,43.0,2013-06-19
61,Sponge Gourd KG,40.0,45.0,43.0,2013-06-19
62,Squash(Long) KG,15.0,20.0,18.0,2013-06-19
63,Sugarbeet KG,45.0,50.0,48.0,2013-06-19
64,Sugarcane Per Piece,50.0,60.0,55.0,2013-06-19
65,Sweet Orange KG,90.0,100.0,95.0,2013-06-19
66,Tamarind KG,65.0,70.0,68.0,2013-06-19
67,Tofu KG,55.0,60.0,58.0,2013-06-19
68,Tomato Big(Nepali) KG,25.0,30.0,27.0,2013-06-19
69,Tomato Small(Local) KG,24.0,28.0,26.0,2013-06-19
70,Turnip KG,45.0,50.0,48.0,2013-06-19
71,Turnip A KG,45.0,50.0,48.0,2013-06-19
72,Water Melon(Green) KG,14.0,16.0,15.0,2013-06-19
0,Apple(Jholey) KG,110.0,120.0,115.0,2013-06-20
1,Asparagus KG,100.0,120.0,110.0,2013-06-20
2,Bamboo Shoot KG,50.0,60.0,55.0,2013-06-20
3,Banana Per Dozen,70.0,80.0,75.0,2013-06-20
4,Bitter Gourd KG,20.0,25.0,23.0,2013-06-20
5,Bottle Gourd KG,20.0,25.0,23.0,2013-06-20
6,Brd Leaf Mustard KG,40.0,45.0,43.0,2013-06-20
7,Brinjal Long KG,20.0,25.0,23.0,2013-06-20
8,Brinjal Round KG,25.0,30.0,28.0,2013-06-20
9,Brocauli KG,70.0,80.0,75.0,2013-06-20
10,Cabbage(Local) KG,10.0,15.0,13.0,2013-06-20
11,Capsicum KG,50.0,55.0,53.0,2013-06-20
12,Carrot(Local) KG,40.0,42.0,41.0,2013-06-20
13,Cauli Local KG,20.0,25.0,23.0,2013-06-20
14,Celery KG,120.0,130.0,125.0,2013-06-20
15,Chilli Dry KG,170.0,180.0,175.0,2013-06-20
16,Chilli Green KG,40.0,50.0,45.0,2013-06-20
17,Christophine KG,35.0,40.0,38.0,2013-06-20
18,Clive Dry KG,70.0,80.0,75.0,2013-06-20
19,Clive Green KG,70.0,80.0,75.0,2013-06-20
20,Coriander Green KG,50.0,60.0,55.0,2013-06-20
21,Cow pea(Long) KG,30.0,35.0,33.0,2013-06-20
22,Cress Leaf KG,45.0,50.0,48.0,2013-06-20
23,Cucumber(Local) KG,30.0,35.0,33.0,2013-06-20
24,Drumstick KG,45.0,50.0,48.0,2013-06-20
25,Fennel Leaf KG,45.0,50.0,48.0,2013-06-20
26,Fenugreek Leaf KG,45.0,50.0,48.0,2013-06-20
27,Fish Fresh KG,210.0,220.0,215.0,2013-06-20
28,French Bean(Local) KG,30.0,40.0,35.0,2013-06-20
29,Garlic Dry Chinese KG,100.0,110.0,105.0,2013-06-20
30,Garlic Dry Nepali KG,50.0,60.0,55.0,2013-06-20
31,Garlic Green KG,40.0,45.0,43.0,2013-06-20
32,Ginger KG,140.0,150.0,145.0,2013-06-20
33,Grapes(Green) KG,250.0,260.0,255.0,2013-06-20
34,Green Peas KG,55.0,60.0,58.0,2013-06-20
35,Gundruk KG,180.0,190.0,185.0,2013-06-20
36,Jack Fruit KG,20.0,25.0,23.0,2013-06-20
37,Lettuce KG,45.0,50.0,48.0,2013-06-20
38,Lime KG,200.0,400.0,300.0,2013-06-20
39,Mango(Maldah) KG,50.0,60.0,55.0,2013-06-20
40,Mint KG,120.0,130.0,125.0,2013-06-20
41,Mushroom(Kanya) KG,200.0,220.0,210.0,2013-06-20
42,Mustard Leaf KG,35.0,40.0,38.0,2013-06-20
43,Neuro KG,50.0,60.0,55.0,2013-06-20
44,Okara KG,35.0,40.0,38.0,2013-06-20
45,Onion Dry (Indian) KG,35.0,36.0,36.0,2013-06-20
46,Onion Green KG,35.0,40.0,38.0,2013-06-20
47,Papaya(Nepali) KG,55.0,55.0,55.0,2013-06-20
48,Parseley KG,170.0,180.0,175.0,2013-06-20
49,Pineapple 1 Pc,60.0,70.0,65.0,2013-06-20
50,Pointed Gourd(Local) KG,30.0,35.0,33.0,2013-06-20
51,Pomegranate KG,190.0,200.0,197.0,2013-06-20
52,Potato Red KG,20.0,21.0,21.0,2013-06-20
53,Potato White KG,15.0,16.0,16.0,2013-06-20
54,Pumpkin KG,18.0,20.0,19.0,2013-06-20
55,Raddish Red KG,35.0,40.0,38.0,2013-06-20
56,Raddish White(Local) KG,28.0,32.0,30.0,2013-06-20
57,Red Cabbbage KG,70.0,80.0,75.0,2013-06-20
58,Smooth Gourd KG,20.0,25.0,23.0,2013-06-20
59,Snake Gourd KG,30.0,35.0,33.0,2013-06-20
60,Soyabean Green KG,50.0,55.0,53.0,2013-06-20
61,Spinach Leaf KG,45.0,50.0,48.0,2013-06-20
62,Sponge Gourd KG,45.0,50.0,48.0,2013-06-20
63,Squash(Long) KG,15.0,20.0,18.0,2013-06-20
64,Sugarbeet KG,35.0,40.0,38.0,2013-06-20
65,Sugarcane Per Piece,50.0,60.0,55.0,2013-06-20
66,Sweet Orange KG,90.0,100.0,95.0,2013-06-20
67,Tamarind KG,65.0,70.0,68.0,2013-06-20
68,Tofu KG,55.0,60.0,58.0,2013-06-20
69,Tomato Big(Nepali) KG,25.0,30.0,27.0,2013-06-20
70,Tomato Small(Local) KG,22.0,26.0,24.0,2013-06-20
71,Turnip KG,40.0,45.0,43.0,2013-06-20
72,Turnip A KG,50.0,60.0,55.0,2013-06-20
73,Water Melon(Green) KG,14.0,16.0,15.0,2013-06-20
0,Apple(Jholey) KG,110.0,120.0,115.0,2013-06-21
1,Asparagus KG,100.0,120.0,110.0,2013-06-21
2,Bamboo Shoot KG,50.0,60.0,55.0,2013-06-21
3,Banana Per Dozen,70.0,80.0,75.0,2013-06-21
4,Bitter Gourd KG,18.0,22.0,20.0,2013-06-21
5,Bottle Gourd KG,20.0,22.0,21.0,2013-06-21
6,Brd Leaf Mustard KG,45.0,50.0,48.0,2013-06-21
7,Brinjal Long KG,18.0,22.0,20.0,2013-06-21
8,Brinjal Round KG,25.0,30.0,28.0,2013-06-21
9,Brocauli KG,70.0,80.0,75.0,2013-06-21
10,Cabbage(Local) KG,8.0,12.0,10.0,2013-06-21
