,Product,Minimum,Maximum,Average,Date
97,Tomato Big(Indian) KG,50,60,55,2023-04-18
98,Tomato Big(Nepali) KG,50,60,55,2023-04-18
99,Tomato Small(Indian) KG,30,35,32.67,2023-04-18
100,Tomato Small(Local) KG,20,25,22.33,2023-04-18
101,Tomato Small(Terai) KG,30,35,32.67,2023-04-18
102,Tomato Small(Tunnel) KG,30,35,32.67,2023-04-18
103,Turnip KG,50,60,55,2023-04-18
104,Turnip A KG,50,60,55,2023-04-18
105,Water Melon(Green) KG,35,40,37.67,2023-04-18
0,Amla KG,120,130,125,2023-04-19
1,Apple(Fuji) KG,250,280,265,2023-04-19
2,Apple(Jholey) KG,200,220,210,2023-04-19
3,Arum KG,40,50,45,2023-04-19
4,Asparagus KG,250,300,275,2023-04-19
5,Avocado KG,400,500,450,2023-04-19
6,Bakula KG,70,80,75,2023-04-19
7,Bamboo Shoot KG,90,100,95,2023-04-19
8,Banana Per Dozen,170,180,175,2023-04-19
9,Barela KG,40,50,45,2023-04-19
10,Bauhania flower KG,230,250,240,2023-04-19
11,Bitter Gourd KG,40,50,45,2023-04-19
12,Bottle Gourd KG,25,30,27.67,2023-04-19
13,Brd Leaf Mustard KG,30,40,35,2023-04-19
14,Brinjal Long KG,30,35,32.67,2023-04-19
15,Brinjal Round KG,40,50,45,2023-04-19
16,Brocauli KG,50,60,55,2023-04-19
17,Cabbage(Local) KG,20,25,22.33,2023-04-19
18,Capsicum KG,90,100,95,2023-04-19
19,Carrot(Local) KG,70,80,75,2023-04-19
20,Cauli Local KG,30,40,35,2023-04-19
21,Cauli Local(Jyapu) KG,40,45,42.33,2023-04-19
22,Celery KG,120,150,135,2023-04-19
23,Chilli Dry KG,450,480,465,2023-04-19
24,Chilli Green KG,60,70,65,2023-04-19
25,Chilli Green(Akbare) KG,250,300,275,2023-04-19
26,Chilli Green(Bullet) KG,60,70,65,2023-04-19
27,Chilli Green(Machhe) KG,70,80,75,2023-04-19
28,Christophine KG,30,40,35,2023-04-19
29,Clive Dry KG,180,200,190,2023-04-19
30,Clive Green KG,50,60,55,2023-04-19
31,Coriander Green KG,40,50,45,2023-04-19
32,Cow pea(Long) KG,60,70,65,2023-04-19
33,Cress Leaf KG,90,100,95,2023-04-19
34,Cucumber(Hybrid) KG,40,50,45,2023-04-19
35,Cucumber(Local) KG,90,100,95,2023-04-19
36,Drumstick KG,60,70,65,2023-04-19
37,Fennel Leaf KG,90,100,95,2023-04-19
38,Fenugreek Leaf KG,90,100,95,2023-04-19
39,Fish Fresh(Bachuwa) KG,280,300,290,2023-04-19
40,Fish Fresh(Chhadi) KG,260,290,275,2023-04-19
41,Fish Fresh(Mungari) KG,300,330,315,2023-04-19
42,Fish Fresh(Rahu) KG,330,360,345,2023-04-19
43,French Bean(Hybrid) KG,30,35,32.67,2023-04-19
44,French Bean(Local) KG,20,25,22.33,2023-04-19
45,French Bean(Rajma) KG,80,90,85,2023-04-19
46,Garlic Dry Chinese KG,170,180,175,2023-04-19
47,Garlic Dry Nepali KG,90,100,95,2023-04-19
48,Garlic Green KG,60,70,65,2023-04-19
49,Ginger KG,120,130,125,2023-04-19
50,Grapes(Black) KG,220,250,235,2023-04-19
51,Grapes(Green) KG,130,160,146.67,2023-04-19
52,Green Peas KG,80,90,85,2023-04-19
53,Gundruk KG,250,300,275,2023-04-19
54,Jack Fruit KG,60,70,65,2023-04-19
55,Kinnow KG,120,150,135,2023-04-19
56,Kiwi KG,400,500,450,2023-04-19
57,Knolkhol KG,40,50,45,2023-04-19
58,Lettuce KG,40,50,45,2023-04-19
59,Lime KG,230,250,240,2023-04-19
60,Mandarin KG,250,280,265,2023-04-19
61,Mango(Dushari) KG,150,180,165,2023-04-19
62,Mint KG,120,150,135,2023-04-19
63,Mustard Leaf KG,30,40,35,2023-04-19
64,Neuro KG,90,100,95,2023-04-19
65,Okara KG,70,80,75,2023-04-19
66,Onion Dry (Indian) KG,31,35,32.67,2023-04-19
67,Onion Green KG,20,30,25,2023-04-19
68,Orange(Indian) KG,150,160,155,2023-04-19
69,Papaya(Indian) KG,80,90,85,2023-04-19
70,Papaya(Nepali) KG,60,70,65,2023-04-19
71,Parseley KG,220,250,235,2023-04-19
72,Pear(Chinese) KG,240,260,250,2023-04-19
73,Pineapple 1 Pc,180,200,190,2023-04-19
74,Pointed Gourd(Local) KG,90,100,95,2023-04-19
75,Pointed Gourd(Terai) KG,80,90,85,2023-04-19
76,Pomegranate KG,250,280,265,2023-04-19
77,Potato Red KG,32,35,33.67,2023-04-19
78,Potato Red(Indian) KG,29,31,30,2023-04-19
79,Potato White KG,26,28,27,2023-04-19
80,Pumpkin KG,30,40,35,2023-04-19
81,Raddish White(Hybrid) KG,25,30,27.67,2023-04-19
82,Raddish White(Local) KG,15,20,17.67,2023-04-19
83,Red Cabbbage KG,40,50,45,2023-04-19
84,Smooth Gourd KG,30,35,32.67,2023-04-19
85,Snake Gourd KG,30,40,35,2023-04-19
86,Spinach Leaf KG,90,100,95,2023-04-19
87,Sponge Gourd KG,60,70,65,2023-04-19
88,Squash(Long) KG,20,30,25,2023-04-19
89,Squash(Round) KG,20,25,22.33,2023-04-19
90,Strawberry KG,200,300,250,2023-04-19
91,Sugarbeet KG,60,70,65,2023-04-19
92,Sweet Orange KG,150,180,165,2023-04-19
93,Sweet Potato KG,70,80,75,2023-04-19
94,Sword Bean KG,60,70,65,2023-04-19
95,Tamarind KG,140,150,145,2023-04-19
96,Tofu KG,120,130,125,2023-04-19
97,Tomato Big(Indian) KG,50,60,55,2023-04-19
98,Tomato Big(Nepali) KG,50,60,55,2023-04-19
99,Tomato Small(Indian) KG,30,35,32.67,2023-04-19
100,Tomato Small(Local) KG,20,25,22.33,2023-04-19
101,Tomato Small(Terai) KG,30,35,32.67,2023-04-19
102,Tomato Small(Tunnel) KG,30,35,32.67,2023-04-19
103,Turnip KG,50,60,55,2023-04-19
104,Turnip A KG,50,60,55,2023-04-19
105,Water Melon(Green) KG,35,40,37.67,2023-04-19
